"","artist","album","track_name","track_id","Positive","Tense","Awake","Familiar","Engaging","Pleasant","Activating","Energising","Comforting","Absorbing","Distracting","Sleep.Preventing","Liked"
"1","220 KID","Too Many Nights","Too Many Nights","6xB0rPxU3ncmMPgGDaD24M",1.66666666666667,1.39393939393939,3.24242424242424,1.66666666666667,1.15151515151515,1,2.75757575757576,2.93939393939394,0.121212121212121,0.151515151515152,1,3.21212121212121,0.696969696969697
"2","Avicii","Stories","Waiting For Love","2P4OICZRVAQcYAV2JReRfj",1.48275862068966,1.82758620689655,3.58620689655172,2.03448275862069,0.793103448275862,0.620689655172414,2.68965517241379,2.75862068965517,-0.172413793103448,0,1.86206896551724,3.48275862068966,0.206896551724138
"3","Band of Horses","Acoustic at The Ryman (Live)","The Funeral - Live Acoustic","1jKvrkkZxtQ7ZDiXdITOis",0.590909090909091,0.227272727272727,1.86363636363636,0.636363636363636,0.272727272727273,0.909090909090909,0.636363636363636,0.772727272727273,0.636363636363636,0.772727272727273,0.772727272727273,1.5,0.5
"4","Bud Hollister","The Stillness Within","The Stillness Within","5UiAjkZAj7kftDzllNzGtP",1.57692307692308,-1.88461538461538,-0.769230769230769,0.5,0.192307692307692,1.88461538461538,-2.03846153846154,-1.07692307692308,2.07692307692308,1.38461538461538,-1.34615384615385,-1.34615384615385,1.11538461538462
"5","Clean Bandit","Tick Tock (feat. 24kGoldn)","Tick Tock (feat. 24kGoldn)","27u7t9d7ZQoyjsCROHuZJ3",1.87096774193548,0.0967741935483871,3,2,1.25806451612903,1.25806451612903,2.48387096774194,2.41935483870968,0.838709677419355,0.774193548387097,0.967741935483871,2.7741935483871,0.967741935483871
"6","Dan Evans-Parker","Hush","Hush","1DaqNS1d8PFJ3SmYl1lb0y",0.173913043478261,-1.82608695652174,-1.39130434782609,0.347826086956522,0.217391304347826,1.39130434782609,-2.26086956521739,-1.82608695652174,1.60869565217391,1.21739130434783,-0.826086956521739,-1.56521739130435,1.47826086956522
"7","Janet Jackson","Rhythm Nation 1814","Rhythm Nation","4nTYxxF8iWBq54LO3dBUie",0.483870967741935,2.03225806451613,2.80645161290323,0.580645161290323,1.41935483870968,0.354838709677419,2.87096774193548,2.64516129032258,-0.645161290322581,-0.193548387096774,1.90322580645161,3.2258064516129,-0.129032258064516
"8","Max Huber","When You Love Someone (Piano Version)","When You Love Someone - Piano Version","6Es161hxX0X1cTc1TgBkj1",1.92592592592593,-2.48148148148148,-0.814814814814815,2.11111111111111,0.666666666666667,2.07407407407407,-2.25925925925926,-1.14814814814815,2.22222222222222,1.62962962962963,-1.14814814814815,-0.888888888888889,2.03703703703704
"9","Max Richter","From Sleep","Dream 13 (minus even)","6CZQOWmIA9GymbjdaEJcGu",2.22222222222222,-2.48148148148148,-1.48148148148148,1.22222222222222,1.07407407407407,2.33333333333333,-2.62962962962963,-1.59259259259259,2.48148148148148,1.55555555555556,-1.62962962962963,-2.14814814814815,2
"10","Max Richter","From Sleep","Dream 3 (in the midst of my life)","1fetTbR2on5hKEE8K9oelC",0.823529411764706,-1.29411764705882,-1.29411764705882,0.470588235294118,0.764705882352941,1.52941176470588,-2.23529411764706,-2.05882352941176,1.47058823529412,1.58823529411765,-1,-1.47058823529412,1.82352941176471
"11","No Spirit","Memories We Made","Some Alone Time","4aLSR0WTWSfJwzP0V1RJHW",2.45454545454545,-2.18181818181818,-1.18181818181818,1.36363636363636,1.5,2.40909090909091,-2.04545454545455,-0.681818181818182,2.5,2.09090909090909,-1.90909090909091,-0.318181818181818,2.40909090909091
"12","Nothingtosay","Introspective","For You","65Spt9v1sGzHlImZdETj8p",1.57692307692308,-1.69230769230769,-0.692307692307692,-0.192307692307692,0.307692307692308,1,-0.0384615384615385,-0.538461538461538,1.26923076923077,1.11538461538462,-0.769230769230769,0.0769230769230769,1.07692307692308
"15","Ron Adelaar","Gymnopédie No.1","Gymnopédie No.1","2QgZibxDR3cA1LYglrzq6w",2.03571428571429,-2.78571428571429,-2,3.21428571428571,1.60714285714286,2.67857142857143,-2.82142857142857,-1.57142857142857,2.67857142857143,2.28571428571429,-1.32142857142857,-1.71428571428571,3.21428571428571
"16","Ryohei Shimoyama","Winter Milky Way","Winter Milky Way","3QqBxUo3Gy2xdeXt9aioRU",1.53571428571429,-2.42857142857143,-1.10714285714286,1.39285714285714,1.71428571428571,2.35714285714286,-2.10714285714286,-1.82142857142857,2.35714285714286,1.78571428571429,-1.35714285714286,-1.42857142857143,2.32142857142857
"17","S N U G","Moonglow","Missing You","5bTnj672Iw134v31kT9I1T",1.78571428571429,-2.32142857142857,-1.35714285714286,1.32142857142857,0.892857142857143,2.17857142857143,-1.89285714285714,-1.17857142857143,2.07142857142857,1.78571428571429,-1.32142857142857,-1,2.10714285714286
"18","Shawn Mendes","Shawn Mendes","In My Blood","2QZ7WLBE8h2y1Y5Fb8RYbH",0.117647058823529,0.294117647058824,1.52941176470588,1.64705882352941,1.05882352941176,0.529411764705882,1.11764705882353,1.35294117647059,-0.176470588235294,0.647058823529412,1.17647058823529,2.17647058823529,0.0588235294117647
"20","Sitting Duck","Wonderland Chapter 1","Slow Mornings","2GfEADLRSFExSLqIhDLQ25",1.55882352941176,-2.11764705882353,-1.38235294117647,1.05882352941176,0.176470588235294,1.58823529411765,-1.41176470588235,-0.764705882352941,1.35294117647059,0.941176470588235,-0.588235294117647,-0.647058823529412,1.14705882352941
"21","SonicAid","Music to Promote Sleep","Drifting into Delta","2y8G3Q8ie1REWDZQ5yXTrc",1.53846153846154,-2.26923076923077,-1,0.346153846153846,0.538461538461538,1.92307692307692,-2.07692307692308,-1.69230769230769,1.73076923076923,1.26923076923077,-1.15384615384615,-1.38461538461538,1.30769230769231
"22","Steve Devon","Only Trust Your Heart","Only Trust Your Heart","6YesOn7fGTzg1RF9c9KYdJ",2,-2.56,-1.8,1.28,0.08,2.36,-2.12,-1.48,2.12,1.64,-1.44,-1.64,1.64
"23","THAT KIND","Lights Go Down","Lights Go Down","25eUamqv7WCarKRaZobtD4",1.5,-0.0454545454545455,3.54545454545455,1.31818181818182,0.727272727272727,0.863636363636364,3.18181818181818,3.27272727272727,0.409090909090909,0.590909090909091,0.590909090909091,3.18181818181818,0.909090909090909
"24","The Weeknd","After Hours","Blinding Lights","0VjIjW4GlUZAMYd2vXMi3b",2.03846153846154,1.11538461538462,3.15384615384615,2.5,2.38461538461538,2.03846153846154,2.76923076923077,2.57692307692308,1.15384615384615,1.42307692307692,1.03846153846154,2.96153846153846,2.15384615384615
"25","ThePianoPlayer","Sonnambula","Sogni d'oro","404ixBT9kNCqxLPxF857zJ",2.125,-2.625,-1.70833333333333,1.66666666666667,1.04166666666667,2.54166666666667,-2.5,-1.79166666666667,2.45833333333333,1.58333333333333,-1.75,-1.41666666666667,2.08333333333333
"26","xander.","Cabin Fever","Don't Let Her Go","7L4VP4XPNO9fL0ZTDENxNr",1.36666666666667,-1.16666666666667,0.333333333333333,0.2,0.666666666666667,1,0.233333333333333,0.4,0.733333333333333,0.5,-0.3,1.1,0.4
